Date,Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Predicted
2007-01-01,2007,1,Batticaloa,82.06451613,28.4,24.0,170.1000037,8.6,10.1,0,
2007-02-01,2007,2,Batticaloa,85.42857143,29.2,24.0,157.5000007,3.7,9.6,2,
2007-03-01,2007,3,Batticaloa,86.65384615,30.2,23.2,16.89999962,1.0,8.1,3,
2007-04-01,2007,4,Batticaloa,90.1,31.2,25.1,233.2999998,1.9,5.8,12,
2007-05-01,2007,5,Batticaloa,85.0,33.8,26.0,11.40000021,0.7,5.3,20,
2007-06-01,2007,6,Batticaloa,82.76666667,33.6,25.9,67.70000052,1.0,5.1,15,
2007-07-01,2007,7,Batticaloa,80.51612903,34.3,25.5,101.3000001,1.0,4.5,4,
2007-08-01,2007,8,Batticaloa,84.06451613,33.2,24.8,104.4000023,0.5,4.3,4,
2007-09-01,2007,9,Batticaloa,83.10344828,33.8,25.2,16.19999981,0.3,3.3,2,
2007-10-01,2007,10,Batticaloa,88.0,32.0,24.2,124.7000001,1.3,5.6,1,
2007-11-01,2007,11,Batticaloa,88.3,30.3,24.0,79.50000073,3.6,8.9,1,
2007-12-01,2007,12,Batticaloa,90.32258065,28.6,23.7,487.1999945,7.0,8.1,2,
2008-01-01,2008,1,Batticaloa,88.51612903,28.7,23.6,296.3999976,5.2,8.3,0,
2008-02-01,2008,2,Batticaloa,87.96551724,30.3,23.8,256.6000042,2.6,7.6,27,
2008-03-01,2008,3,Batticaloa,91.16129032,30.4,23.9,419.5000012,1.1,5.5,12,
2008-04-01,2008,4,Batticaloa,89.76666667,32.3,25.0,70.49999902,0.1,3.8,13,
2008-05-01,2008,5,Batticaloa,84.5483871,34.4,25.7,2.099999905,0.4,4.5,10,
2008-06-01,2008,6,Batticaloa,83.5,34.0,25.0,93.60000038,0.4,2.9,6,
2008-07-01,2008,7,Batticaloa,81.12903226,34.9,25.2,5.300000072,0.5,5.9,1,
