Date,Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Predicted
2007-01-01,2007,1,Colombo,82.25806452,31.8,22.9,91.10000125,5.7,6.0,244,
2007-02-01,2007,2,Colombo,84.14285714,31.2,23.5,9.900000215,3.4,6.3,175,
2007-03-01,2007,3,Colombo,85.80645161,31.8,24.8,60.50000084,2.9,5.8,61,
2007-04-01,2007,4,Colombo,91.43333333,31.7,24.8,374.100007,1.9,5.0,35,
2007-05-01,2007,5,Colombo,84.70967742,31.4,26.4,432.4000125,4.3,6.3,44,
2007-06-01,2007,6,Colombo,85.56666667,30.7,26.1,79.89999926,4.9,5.8,102,
2007-07-01,2007,7,Colombo,86.51612903,30.0,25.7,106.6000002,4.7,5.9,163,
2007-08-01,2007,8,Colombo,86.29032258,30.1,25.6,260.5000006,5.1,6.2,128,
2007-09-01,2007,9,Colombo,86.33333333,30.4,25.4,129.3000023,4.5,6.4,158,
2007-10-01,2007,10,Colombo,90.61290323,29.5,24.3,292.1000027,2.8,3.9,178,
2007-11-01,2007,11,Colombo,87.9,30.8,23.5,128.7999974,2.4,5.3,195,
2007-12-01,2007,12,Colombo,86.12903226,30.4,23.3,119.5999993,3.1,5.8,239,
2008-01-01,2008,1,Colombo,85.80645161,30.8,22.9,30.6,4.7,5.8,156,
2008-02-01,2008,2,Colombo,87.4137931,30.8,23.3,118.5000006,3.4,5.5,147,
2008-03-01,2008,3,Colombo,89.90322581,30.8,24.0,293.6999988,3.0,4.9,137,
2008-04-01,2008,4,Colombo,90.33333333,30.9,24.2,435.8999998,4.0,5.8,135,
2008-05-01,2008,5,Colombo,84.35483871,31.2,26.2,170.6000011,7.0,8.3,163,
2008-06-01,2008,6,Colombo,86.46666667,30.2,25.5,250.5000013,4.2,7.3,126,
2008-07-01,2008,7,Colombo,86.83870968,29.8,25.1,185.8,5.6,6.8,96,
2008-08-01,2008,8,Colombo,86.90322581,29.8,25.3,140.0999994,5.6,6.7,145,
2008-09-01,2008,9,Colombo,85.5,30.6,25.0,155.2000008,4.4,5.4,109,
2008-10-01,2008,10,Colombo,91.22580645,30.5,24.0,491.6000009,2.6,4.7,79,
2008-11-01,2008,11,Colombo,89.56666667,30.8,23.8,140.9000008,3.3,6.1,67,
2008-12-01,2008,12,Colombo,86.32258065,31.0,23.3,208.7000019,4.6,6.8,90,
2009-01-01,2009,1,Colombo,81.80645161,31.1,22.9,117.9000033,4.3,6.4,155,
2009-02-01,2009,2,Colombo,80.82142857,31.2,22.8,4.900000192,4.2,7.8,174,
2009-03-01,2009,3,Colombo,89.77419355,31.4,24.4,209.1000016,2.3,6.1,140,
2009-04-01,2009,4,Colombo,88.03333333,31.6,25.5,359.4999929,4.5,6.2,102,
2009-05-01,2009,5,Colombo,84.74193548,31.5,27.0,103.4999987,6.1,7.8,304,
2009-06-01,2009,6,Colombo,87.16666667,30.3,25.8,156.7000004,5.4,6.6,731,
2009-07-01,2009,7,Colombo,86.29032258,30.1,25.8,113.5999979,4.5,5.5,805,
2009-08-01,2009,8,Colombo,85.09677419,30.3,26.2,92.49999973,4.9,7.4,551,
2009-09-01,2009,9,Colombo,85.6,30.2,25.9,172.3000016,6.3,6.3,198,
2009-10-01,2009,10,Colombo,88.96774194,30.6,24.9,206.5999995,3.8,5.4,273,
2009-11-01,2009,11,Colombo,92.83333333,30.3,23.9,448.4000025,1.7,2.8,380,
2009-12-01,2009,12,Colombo,89.32258065,31.0,24.2,149.4000026,4.3,4.5,195,
2010-01-01,2010,1,Colombo,82.70967742,31.9,23.6,21.00000001,4.6,7.3,563,
2010-02-01,2010,2,Colombo,83.67857143,32.4,24.8,4.499999955,4.2,7.5,451,
2010-03-01,2010,3,Colombo,85.64516129,32.6,25.5,72.30000028,2.5,6.1,430,
2010-04-01,2010,4,Colombo,91.66666667,32.0,25.5,482.8999955,1.5,3.5,92,
2010-05-01,2010,5,Colombo,89.5483871,31.2,26.0,727.8000139,4.2,6.8,252,
2010-06-01,2010,6,Colombo,87.76666667,30.7,26.4,200.3999979,4.9,6.9,431,
2010-07-01,2010,7,Colombo,88.41935484,30.0,25.6,117.7999988,4.3,5.8,1112,
2010-08-01,2010,8,Colombo,85.25806452,29.7,26.4,14.69999981,6.6,6.6,1045,
2010-09-01,2010,9,Colombo,89.1,30.0,25.8,306.6000032,4.5,5.0,363,
2010-10-01,2010,10,Colombo,86.64516129,30.1,25.6,158.2999999,4.8,5.5,192,
2010-11-01,2010,11,Colombo,92.5,29.8,24.2,971.5000078,3.0,3.9,141,
2010-12-01,2010,12,Colombo,90.58064516,29.4,23.7,292.0999963,4.4,5.3,181,
2011-01-01,2011,1,Colombo,79.35,29.9,23.2,61.69999999,4.8,6.5,265,
2011-02-01,2011,2,Colombo,80.15,30.0,24.0,33.70000006,5.3,7.9,309,
2011-03-01,2011,3,Colombo,78.5,31.7,24.7,149.4999986,3.7,7.8,320,
2011-04-01,2011,4,Colombo,82.45,31.0,24.9,354.3000059,2.3,5.6,280,
2011-05-01,2011,5,Colombo,80.75,31.3,26.7,197.8000001,5.3,7.3,631,
2011-06-01,2011,6,Colombo,81.85,30.8,26.4,178.6000001,5.8,7.0,968,
2011-07-01,2011,7,Colombo,81.7,30.2,26.2,98.19999903,7.0,6.9,1082,
2011-08-01,2011,8,Colombo,80.75,30.2,26.2,148.6000005,7.0,8.1,1032,
2011-09-01,2011,9,Colombo,79.35,30.5,26.1,76.20000081,5.5,6.0,443,
2011-10-01,2011,10,Colombo,81.55,31.0,25.2,242.0000008,3.5,5.3,490,
2011-11-01,2011,11,Colombo,82.05,30.8,24.3,188.2999986,3.3,4.1,288,
2011-12-01,2011,12,Colombo,79.5,30.5,23.6,45.30000015,4.8,5.6,799,
