Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Date
2007,1,Galle,89.61290323,29.6,23.3,78.20000023,2.2,6.9,22,1/1/2007
2007,2,Galle,87.71428571,30.7,23.3,6.400000192,2.2,7.8,12,2/1/2007
2007,3,Galle,86.12903226,31.9,24.4,35.69999965,2.4,6.7,4,3/1/2007
2007,4,Galle,92.23333333,30.8,24.9,342.7999936,4.1,6.9,1,4/1/2007
2007,5,Galle,88.29032258,30.5,26.5,364.9999968,17.8,21.5,2,5/1/2007
2007,6,Galle,89.23333333,29.7,26,328.499999,12.2,14.8,4,6/1/2007
2007,7,Galle,89.70967742,29,25.5,126.9999997,9.6,12.2,6,7/1/2007
2007,8,Galle,87.80645161,29.2,24.5,319.5000005,14.6,14.4,7,8/1/2007
2007,9,Galle,88.4,29.4,23.7,228.8000003,13.7,12.6,9,9/1/2007
2007,10,Galle,90.19354839,28.7,24.3,656.6999983,8.9,10.6,7,10/1/2007
2007,11,Galle,89.86666667,29.9,24,270.6999993,2.2,6.3,6,11/1/2007
2007,12,Galle,89.29032258,30.1,23.9,331.8999924,2,5.6,9,12/1/2007
2008,1,Galle,89.83870968,29.5,22.4,189.2000014,0.7,7.4,16,1/1/2008
2008,2,Galle,88.55172414,30.5,23.4,134.7000012,3.4,9.3,7,2/1/2008
2008,3,Galle,87.90322581,30.2,24.8,124.8999998,4.4,8.7,12,3/1/2008
2008,4,Galle,90.8,30.1,24.4,598.3999933,10.4,16.7,4,4/1/2008
2008,5,Galle,84.80645161,29.9,26.5,166.199999,5.66,7.76,11,5/1/2008
2008,6,Galle,87.8,29.6,25.3,239.6999979,12.7,14.6,8,6/1/2008
2008,7,Galle,88.87096774,29.1,24.9,312.8999996,14.1,16.4,5,7/1/2008
2008,8,Galle,87.67741935,29,25.7,177.0999994,13.8,11.9,14,8/1/2008
2008,9,Galle,84.96666667,29.8,25.7,81.10000029,12.2,14.4,5,9/1/2008
2008,10,Galle,87.35483871,30,24.5,267.6999979,8.9,12.3,4,10/1/2008
2008,11,Galle,87.3,30.3,24.4,225.4000023,9.6,12.6,8,11/1/2008
2008,12,Galle,89.22580645,30,23.8,259.5000031,8.1,8.1,7,12/1/2008
2009,1,Galle,84.58064516,30.3,23.1,8.100000173,5,5.3,3,1/1/2009
2009,2,Galle,83.25,30.7,23.5,10.30000001,4.5,5.5,13,2/1/2009
2009,3,Galle,86.7,31.8,24.6,67.79999965,5.7,8.6,13,3/1/2009
2009,4,Galle,86.6,31.1,25.9,162.1000007,9.4,13.2,6,4/1/2009
