Date,Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Predicted
2007-01-01,2007,1,Gampaha,85.83870968,32.0,22.1,39.39999942,12.5,14.5,64,
2007-02-01,2007,2,Gampaha,86.39285714,32.5,22.5,0.0,6.1,14.2,44,
2007-03-01,2007,3,Gampaha,89.74193548,32.5,24.0,112.8999992,4.4,11.6,26,
2007-04-01,2007,4,Gampaha,93.9,31.8,24.3,249.8999971,3.5,7.7,16,
2007-05-01,2007,5,Gampaha,87.32258065,31.7,25.9,266.2999974,8.7,13.5,17,
2007-06-01,2007,6,Gampaha,87.0,31.1,25.8,133.3999995,10.0,12.3,35,
2007-07-01,2007,7,Gampaha,86.96774194,30.6,25.6,62.00000031,9.5,12.3,37,
2007-08-01,2007,8,Gampaha,87.35483871,30.7,25.6,132.5000003,10.0,11.8,50,
2007-09-01,2007,9,Gampaha,89.23333333,30.6,24.9,211.000002,10.2,11.3,78,
2007-10-01,2007,10,Gampaha,92.29032258,30.0,24.0,359.8000002,6.7,8.3,85,
2007-11-01,2007,11,Gampaha,91.5,31.5,23.0,92.70000088,7.8,10.1,136,
2007-12-01,2007,12,Gampaha,90.09677419,31.1,22.7,195.4999995,9.5,12.5,129,
2008-01-01,2008,1,Gampaha,89.38709677,31.7,22.3,25.49999987,10.9,12.8,122,
2008-02-01,2008,2,Gampaha,89.89655172,31.8,22.6,128.5999986,7.2,13.2,76,
2008-03-01,2008,3,Gampaha,92.80645161,31.2,23.6,397.8000023,6.8,10.4,69,
2008-04-01,2008,4,Gampaha,92.7,31.3,24.1,319.1000008,5.9,10.3,75,
2008-05-01,2008,5,Gampaha,86.70967742,31.6,26.0,125.1000012,10.2,14.5,69,
2008-06-01,2008,6,Gampaha,87.7,30.5,25.3,199.8000014,9.3,11.6,69,
2008-07-01,2008,7,Gampaha,89.16129032,30.3,24.9,163.0000013,12.9,13.0,46,
