Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Date
2007,1,Jaffna,81.88666667,29.7,22.2,12.5,5.3,7.12,0,1/1/2007
2007,2,Jaffna,82.25380952,30.8,22,19.19999957,4.5,6.04,0,2/1/2007
2007,3,Jaffna,77.74386243,33.4,22.1,0,6.5,8.3,0,3/1/2007
2007,4,Jaffna,77.18451613,33.8,25.5,39.00000048,5.4,8,0,4/1/2007
2007,5,Jaffna,77.6,33.2,28.4,23,11.8,16.1,0,5/1/2007
2007,6,Jaffna,80.00580645,32.7,27.5,19.70000036,9.7,12.7,0,6/1/2007
2007,7,Jaffna,81.72580645,31.7,26.6,18.90000057,10.3,12,0,7/1/2007
2007,8,Jaffna,81.33677419,31.8,26.5,81.2000002,10.5,11.9,0,8/1/2007
2007,9,Jaffna,83.07861751,31.5,26.6,95.69999924,9.2,10.1,4,9/1/2007
2007,10,Jaffna,84.54946237,30.9,25.3,291.9999995,5.5,5.6,58,10/1/2007
2007,11,Jaffna,85.33512821,30,22.9,183.3999995,3.4,4.8,31,11/1/2007
2007,12,Jaffna,91.62741935,28.9,22.5,383.7000004,4,5.8,19,12/1/2007
2008,1,Jaffna,79.62666667,29.5,21.4,22.49999925,3.5,6.3,7,1/1/2008
2008,2,Jaffna,79.42666667,31.2,21.9,35.09999979,5,7.2,1,2/1/2008
2008,3,Jaffna,88.06,30.7,23.6,249.7000037,4.5,6.3,2,3/1/2008
2008,4,Jaffna,80.41483871,32.4,25.8,88.19999954,5.5,5.6,4,4/1/2008
2008,5,Jaffna,77.11,32,27.7,22.89999998,11.4,12.7,3,5/1/2008
2008,6,Jaffna,78.48709677,32.3,27.6,28.39999962,8.1,9.1,3,6/1/2008
2008,7,Jaffna,80.49709677,32,26.9,26,7.7,8.6,0,7/1/2008
2008,8,Jaffna,80.79571429,31.5,26.3,96.89999849,7,8.4,0,8/1/2008
2008,9,Jaffna,78.31692308,32,26.9,2.200000048,8.5,9.9,0,9/1/2008
