Date,Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Predicted
2007-01-01,2007,1,Kandy,93.19354839,27.6,18.0,83.3000007,1.8,2.7,120,
2007-02-01,2007,2,Kandy,92.42857143,30.4,18.4,1.599999994,1.5,3.0,36,
2007-03-01,2007,3,Kandy,92.58064516,32.4,18.3,127.6000007,0.9,1.5,21,
2007-04-01,2007,4,Kandy,96.96666667,30.9,21.8,367.0999987,0.9,1.4,16,
2007-05-01,2007,5,Kandy,94.58064516,30.4,21.7,63.30000106,1.4,4.1,7,
2007-06-01,2007,6,Kandy,91.73333333,28.9,22.1,146.3000015,2.4,4.6,20,
2007-07-01,2007,7,Kandy,90.16129032,27.9,22.2,116.5000007,2.3,2.7,29,
2007-08-01,2007,8,Kandy,91.41935484,28.6,21.3,45.30000038,2.0,2.6,21,
2007-09-01,2007,9,Kandy,92.86666667,28.3,21.4,214.300002,2.8,3.1,18,
2007-10-01,2007,10,Kandy,95.64516129,27.9,20.9,268.6999993,0.7,1.4,29,
2007-11-01,2007,11,Kandy,96.0,29.2,19.9,161.0000018,0.8,1.3,29,
2007-12-01,2007,12,Kandy,94.41935484,27.5,19.8,232.6000006,1.4,1.5,25,
2008-01-01,2008,1,Kandy,95.03225806,27.9,19.6,108.6000003,1.1,1.4,19,
2008-02-01,2008,2,Kandy,94.34482759,30.0,19.4,84.40000004,1.0,1.1,17,
2008-03-01,2008,3,Kandy,96.48387097,29.6,20.7,383.7000009,0.8,1.5,29,
2008-04-01,2008,4,Kandy,97.5,29.8,21.2,303.5000005,0.1,0.7,15,
2008-05-01,2008,5,Kandy,95.19354839,30.0,21.7,2.0,1.2,3.4,15,
2008-06-01,2008,6,Kandy,90.36666667,28.9,21.8,54.50000109,2.6,3.6,22,
2008-07-01,2008,7,Kandy,91.19354839,28.1,21.3,115.0999992,2.0,3.5,19,
2008-08-01,2008,8,Kandy,92.19354839,29.2,21.0,75.79999903,1.7,2.6,30,
2008-09-01,2008,9,Kandy,93.5,29.6,20.1,55.0999988,2.0,3.5,30,
2008-10-01,2008,10,Kandy,97.06451613,29.4,20.7,298.2999998,0.6,1.1,25,
2008-11-01,2008,11,Kandy,97.06666667,28.7,20.1,273.0999973,0.5,0.3,35,
2008-12-01,2008,12,Kandy,95.4516129,28.5,19.4,94.49999983,1.0,1.2,50,
2009-01-01,2009,1,Kandy,91.51612903,29.0,18.6,8.800000235,1.7,2.4,97,
2009-02-01,2009,2,Kandy,91.25,31.1,17.5,23.90000005,0.8,1.6,123,
2009-03-01,2009,3,Kandy,94.61290323,31.6,20.4,206.6000002,0.2,0.8,134,
2009-04-01,2009,4,Kandy,96.2,31.0,21.8,109.0000002,0.5,2.2,58,
2009-05-01,2009,5,Kandy,92.16129032,29.8,22.5,219.1999986,2.1,3.0,253,
2009-06-01,2009,6,Kandy,91.46666667,28.3,22.3,90.70000016,2.6,3.8,753,
2009-07-01,2009,7,Kandy,87.03225806,28.1,22.3,47.60000107,2.0,4.3,535,
2009-08-01,2009,8,Kandy,92.19354839,28.6,21.6,86.40000037,2.4,3.3,520,
2009-09-01,2009,9,Kandy,91.66666667,28.4,21.4,123.3000019,4.1,4.4,167,
2009-10-01,2009,10,Kandy,94.25806452,29.6,20.8,333.1000059,2.1,2.5,140,
2009-11-01,2009,11,Kandy,95.86666667,28.4,21.0,416.1999954,1.0,1.0,140,
2009-12-01,2009,12,Kandy,95.51612903,27.9,21.2,279.1999985,1.4,1.7,123,
2010-01-01,2010,1,Kandy,94.12903226,28.4,19.4,117.6999978,1.4,2.5,164,
2010-02-01,2010,2,Kandy,92.89285714,30.8,19.9,24.39999944,1.8,4.3,129,
2010-03-01,2010,3,Kandy,91.32258065,32.7,21.1,80.40000297,1.8,3.9,117,
2010-04-01,2010,4,Kandy,95.76666667,31.7,22.8,284.2000015,0.8,2.4,22,
2010-05-01,2010,5,Kandy,94.83870968,30.0,22.9,122.5000015,1.5,4.2,110,
2010-06-01,2010,6,Kandy,91.6,28.8,22.4,189.1999997,3.1,5.2,102,
2010-07-01,2010,7,Kandy,89.77419355,28.3,22.1,285.9999989,4.5,7.3,195,
2010-08-01,2010,8,Kandy,89.80645161,27.7,21.9,192.5999978,4.2,7.1,252,
2010-09-01,2010,9,Kandy,94.3,28.2,21.5,107.3000024,3.5,5.2,109,
2010-10-01,2010,10,Kandy,93.64516129,28.2,21.1,246.2999963,4.0,5.7,51,
2010-11-01,2010,11,Kandy,96.3,28.1,21.1,546.7,1.4,2.3,28,
2010-12-01,2010,12,Kandy,95.51612903,26.3,20.6,468.3000054,2.8,2.8,72,
2011-01-01,2011,1,Kandy,88.7,25.9,19.3,383.2000074,3.5,3.2,18,
2011-02-01,2011,2,Kandy,85.85,27.8,20.0,305.7999963,1.8,4.2,17,
