Date,Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Predicted
2007-01-01,2007,1,Kurunegala,80.85185185,30.7,20.4,31.99999976,2.0,3.6,60,
2007-02-01,2007,2,Kurunegala,79.875,33.6,20.4,24.40000077,0.9,3.1,20,
2007-03-01,2007,3,Kurunegala,78.23076923,36.3,21.4,55.10000151,0.6,2.6,25,
2007-04-01,2007,4,Kurunegala,90.26923077,33.6,22.3,170.1999985,0.58,2.5,22,
2007-05-01,2007,5,Kurunegala,83.7037037,32.5,25.2,53.00000015,3.2,3.7,12,
2007-06-01,2007,6,Kurunegala,84.48,31.6,24.7,191.2999991,4.3,3.0,41,
2007-07-01,2007,7,Kurunegala,83.92592593,30.9,24.6,95.89999913,3.0,3.9,114,
2007-08-01,2007,8,Kurunegala,82.23076923,31.3,24.4,78.99999947,4.3,3.5,52,
2007-09-01,2007,9,Kurunegala,85.69230769,31.0,23.7,185.6000002,2.9,3.0,76,
2007-10-01,2007,10,Kurunegala,89.0,30.7,23.1,339.3999959,1.8,1.4,84,
2007-11-01,2007,11,Kurunegala,87.0,31.7,22.1,211.6000015,0.6,0.5,78,
2007-12-01,2007,12,Kurunegala,86.44444444,30.0,21.7,180.8999994,0.5,1.9,78,
2008-01-01,2008,1,Kurunegala,84.37037037,30.4,21.5,80.50000084,1.3,2.3,61,
2008-02-01,2008,2,Kurunegala,82.79166667,32.6,21.5,137.5999995,0.3,2.3,27,
2008-03-01,2008,3,Kurunegala,90.18518519,32.4,22.5,522.3999994,0.8,1.9,33,
2008-04-01,2008,4,Kurunegala,90.30769231,32.5,23.3,330.2000009,1.0,2.2,33,
2008-05-01,2008,5,Kurunegala,85.15384615,32.3,24.7,126.1000003,4.0,4.1,14,
2008-06-01,2008,6,Kurunegala,84.73076923,31.3,24.4,84.99999982,3.3,3.6,25,
2008-07-01,2008,7,Kurunegala,84.19230769,30.7,23.8,316.2000045,4.1,3.7,9,
2008-08-01,2008,8,Kurunegala,84.07692308,31.6,24.1,62.90000028,4.5,3.7,22,
2008-09-01,2008,9,Kurunegala,84.30769231,32.1,23.5,50.10000122,4.0,3.1,29,
2008-10-01,2008,10,Kurunegala,90.34615385,32.2,22.5,514.7999983,1.7,1.0,13,
2008-11-01,2008,11,Kurunegala,89.76923077,31.2,22.0,131.4999986,1.0,0.4,21,
2008-12-01,2008,12,Kurunegala,87.55555556,30.8,21.0,47.49999861,0.8,1.9,24,
2009-01-01,2009,1,Kurunegala,81.76923077,31.6,20.5,21.19999979,1.1,3.0,27,
2009-02-01,2009,2,Kurunegala,77.29166667,34.4,20.3,4.800000072,1.3,3.0,67,
2009-03-01,2009,3,Kurunegala,88.07407407,34.8,22.1,369.4000006,0.3,2.1,69,
2009-04-01,2009,4,Kurunegala,88.84615385,33.3,23.3,160.2000019,1.8,1.0,28,
2009-05-01,2009,5,Kurunegala,86.0,32.3,24.4,172.0000024,3.0,2.4,101,
2009-06-01,2009,6,Kurunegala,87.07692308,30.8,23.6,95.20000066,3.3,2.9,625,
2009-07-01,2009,7,Kurunegala,82.73076923,31.2,23.7,76.29999909,3.2,2.9,437,
2009-08-01,2009,8,Kurunegala,86.25925926,31.4,23.4,255.7999979,3.1,2.8,482,
2009-09-01,2009,9,Kurunegala,86.80769231,31.2,23.3,179.7999985,3.6,3.6,158,
2009-10-01,2009,10,Kurunegala,88.69230769,32.4,22.2,130.7999972,2.0,1.7,109,
2009-11-01,2009,11,Kurunegala,91.53846154,31.1,21.6,268.0000006,0.5,0.9,129,
2009-12-01,2009,12,Kurunegala,90.25925926,30.8,21.6,317.2999972,1.0,1.7,73,
2010-01-01,2010,1,Kurunegala,83.15384615,31.3,20.7,85.69999919,1.5,3.6,198,
2010-02-01,2010,2,Kurunegala,81.29166667,34.6,21.4,1.5,1.8,3.5,127,
2010-03-01,2010,3,Kurunegala,80.25925926,36.5,22.4,160.9,0.9,3.1,120,
2010-04-01,2010,4,Kurunegala,90.12,34.0,23.3,332.2000013,0.9,1.7,22,
2010-05-01,2010,5,Kurunegala,88.51851852,32.6,23.6,142.4999992,2.7,3.0,100,
2010-06-01,2010,6,Kurunegala,86.69230769,31.6,23.4,162.000001,3.7,2.8,108,
2010-07-01,2010,7,Kurunegala,86.15384615,31.3,23.0,93.80000073,2.5,3.3,184,
2010-08-01,2010,8,Kurunegala,85.0,31.0,23.4,99.00000138,3.5,3.1,273,
2010-09-01,2010,9,Kurunegala,86.80769231,31.4,22.9,207.3999947,2.2,2.5,94,
2010-10-01,2010,10,Kurunegala,87.42307692,31.1,22.4,275.8000022,2.2,2.4,36,
2010-11-01,2010,11,Kurunegala,92.42307692,30.9,21.7,550.4999946,1.1,0.8,19,
2010-12-01,2010,12,Kurunegala,89.73076923,29.0,21.2,322.9999977,1.3,1.4,57,
2011-01-01,2011,1,Kurunegala,88.03703704,29.0,19.9,177.4999974,1.1,1.6,24,
2011-02-01,2011,2,Kurunegala,86.0,30.8,20.8,154.4000013,1.1,2.0,31,
2011-03-01,2011,3,Kurunegala,84.59259259,34.1,21.3,86.79999912,1.3,2.5,58,
2011-04-01,2011,4,Kurunegala,90.12,33.1,21.8,634.0999973,0.9,1.3,35,
2011-05-01,2011,5,Kurunegala,86.07407407,32.9,23.0,222.9999973,2.7,2.3,74,
2011-06-01,2011,6,Kurunegala,84.96153846,31.8,23.3,64.70000076,3.0,3.2,97,
2011-07-01,2011,7,Kurunegala,82.07692308,32.1,23.4,36.49999989,3.2,3.6,81,
2011-08-01,2011,8,Kurunegala,83.25925926,31.9,23.1,86.99999969,2.84,4.74,117,
2011-09-01,2011,9,Kurunegala,84.64,31.9,22.6,142.5000022,2.22,4.1,59,
2011-10-01,2011,10,Kurunegala,88.25925926,33.0,22.2,155.6999986,1.96,3.02,79,
2011-11-01,2011,11,Kurunegala,88.84615385,31.6,21.0,123.9999997,4.18,6.18,65,
2011-12-01,2011,12,Kurunegala,86.0,30.7,20.5,71.79999865,2.38,3.1,72,
2012-01-01,2012,1,Kurunegala,70.45,32.2,19.9,11.90000021,4.22,5.04,175,
2012-02-01,2012,2,Kurunegala,74.5,32.6,21.4,143.4000015,4.2,6.62,137,
2012-03-01,2012,3,Kurunegala,73.3,34.5,22.6,105.2000001,5.54,7.68,64,
2012-04-01,2012,4,Kurunegala,81.15,33.0,23.0,238.9999993,3.86,5.28,72,
2012-05-01,2012,5,Kurunegala,74.2,33.5,24.8,8.300000004,2.39,5.46,16,
2012-06-01,2012,6,Kurunegala,79.55,32.0,24.4,128.9,6.98,10.46,44,
2012-07-01,2012,7,Kurunegala,78.3,31.7,24.5,66.59999914,4.44,7.0,205,
2012-08-01,2012,8,Kurunegala,77.0,32.1,24.1,103.2999999,6.48,7.8,200,
2012-09-01,2012,9,Kurunegala,76.4,32.6,24.2,26.69999985,9.12,11.28,163,
2012-10-01,2012,10,Kurunegala,82.05,32.7,23.1,356.8999974,6.44,9.28,309,
2012-11-01,2012,11,Kurunegala,83.05,31.2,22.4,208.2000019,4.16,6.94,282,
2012-12-01,2012,12,Kurunegala,83.3,30.5,22.2,563.5000038,6.38,8.94,392,
2013-01-01,2013,1,Kurunegala,78.7,30.1,20.9,194.8000034,4.9,6.5,296,
2013-02-01,2013,2,Kurunegala,76.15,32.4,22.0,52.899999,5.1,7.0,268,
2013-03-01,2013,3,Kurunegala,77.8,34.2,23.3,160.2999983,2.68,4.0,177,
2013-04-01,2013,4,Kurunegala,79.85,34.1,24.4,132.4000006,5.76,9.88,140,
2013-05-01,2013,5,Kurunegala,82.5,31.9,25.1,242.8999997,6.46,9.0,97,
2013-06-01,2013,6,Kurunegala,83.95,30.1,24.0,183.3999991,4.06,6.18,154,
2013-07-01,2013,7,Kurunegala,81.65,30.8,24.2,65.60000125,5.7,7.1,191,
2013-08-01,2013,8,Kurunegala,77.65,32.1,24.1,24.49999995,5.6,7.7,87,
2013-09-01,2013,9,Kurunegala,81.5,30.6,23.5,229.2999941,5.4,6.4,121,
2013-10-01,2013,10,Kurunegala,80.5,31.8,23.4,297.4000067,4.3,5.5,95,
