Date,Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Predicted
2007-01-01,2007,1,Puttalam,95.90322581,30.7,21.2,49.79999895,3.6,5.1,47,
2007-02-01,2007,2,Puttalam,92.78571429,31.8,21.5,16.40000033,3.0,6.9,11,
2007-03-01,2007,3,Puttalam,90.58064516,33.6,22.2,5.699999928,2.9,6.0,5,
2007-04-01,2007,4,Puttalam,93.46666667,33.1,24.1,246.3999999,2.0,4.9,3,
2007-05-01,2007,5,Puttalam,85.64516129,32.4,27.0,4.00000003,7.8,9.2,5,
2007-06-01,2007,6,Puttalam,88.0,31.9,25.9,24.40000027,7.5,9.4,6,
2007-07-01,2007,7,Puttalam,88.93548387,31.0,25.6,26.30000055,8.4,9.3,6,
2007-08-01,2007,8,Puttalam,86.35483871,31.4,25.9,20.20000005,7.7,9.0,10,
2007-09-01,2007,9,Puttalam,87.26666667,31.7,25.6,54.10000164,7.9,8.5,11,
2007-10-01,2007,10,Puttalam,90.12903226,30.7,24.5,149.6000018,4.3,4.8,28,
2007-11-01,2007,11,Puttalam,94.7,30.7,22.2,111.5,2.3,3.5,64,
2007-12-01,2007,12,Puttalam,96.74193548,29.7,22.0,209.8999996,3.1,3.8,119,
2008-01-01,2008,1,Puttalam,95.83870968,30.4,21.3,17.49999978,3.0,4.7,61,
2008-02-01,2008,2,Puttalam,96.17241379,31.8,21.7,79.50000139,2.6,4.7,30,
2008-03-01,2008,3,Puttalam,92.96774194,31.1,23.2,189.8999992,3.2,3.6,75,
2008-04-01,2008,4,Puttalam,90.83333333,31.9,24.3,157.5000003,3.3,4.8,36,
2008-05-01,2008,5,Puttalam,85.29032258,32.2,26.8,7.199999794,7.6,10.0,29,
2008-06-01,2008,6,Puttalam,85.93333333,32.0,26.8,11.60000031,8.4,11.0,22,
2008-07-01,2008,7,Puttalam,86.12903226,31.3,25.8,17.59999998,7.28,9.8,10,
2008-08-01,2008,8,Puttalam,87.77419355,31.6,25.5,87.20000191,5.48,7.18,6,
2008-09-01,2008,9,Puttalam,89.66666667,31.4,25.3,20.19999966,6.7,9.4,3,
2008-10-01,2008,10,Puttalam,93.5483871,31.2,23.7,472.0999985,2.1,3.7,1,
2008-11-01,2008,11,Puttalam,94.6,30.5,22.9,224.1000015,2.8,3.6,3,
2008-12-01,2008,12,Puttalam,96.48387097,29.9,22.0,57.29999902,3.8,4.1,5,
2009-01-01,2009,1,Puttalam,95.48387097,30.1,20.6,43.89999939,4.2,7.1,10,
2009-02-01,2009,2,Puttalam,94.78571429,31.9,20.4,19.40000077,3.4,7.4,5,
2009-03-01,2009,3,Puttalam,94.67741935,32.5,22.6,127.7999997,1.5,5.1,23,
2009-04-01,2009,4,Puttalam,92.9,32.3,24.9,194.9999998,5.0,8.1,7,
2009-05-01,2009,5,Puttalam,86.7,32.5,27.2,15.99999988,10.8,13.3,17,
2009-06-01,2009,6,Puttalam,85.33333333,31.5,26.4,31.69999936,13.4,16.6,124,
2009-07-01,2009,7,Puttalam,86.74193548,31.2,26.0,6.699999928,11.8,14.8,155,
2009-08-01,2009,8,Puttalam,87.06451613,31.2,26.0,94.09999931,9.4,11.4,102,
2009-09-01,2009,9,Puttalam,85.56666667,31.3,26.0,8.200000048,12.7,14.0,28,
2009-10-01,2009,10,Puttalam,88.74193548,32.1,24.1,70.69999953,7.2,9.1,21,
2009-11-01,2009,11,Puttalam,94.56666667,30.9,23.2,232.3000003,4.5,4.6,50,
