Year,Month,station_name,humidity,TMPMAX,TMPMIN,precipitation,wind_speed_8_30am,wind_speed_17_30pm,patients,Date
2007,1,Ratnapura,94.5483871,31.8,21.3,91.59999768,0.7,3,13,1/1/2007
2007,2,Ratnapura,91.25,34.6,22,9.000000119,1.3,7.4,11,2/1/2007
2007,3,Ratnapura,91.29032258,34.9,22.6,84.80000003,1.3,6.2,14,3/1/2007
2007,4,Ratnapura,97.1,33.1,23.3,459.999999,1.3,3.3,6,4/1/2007
2007,5,Ratnapura,94.12903226,32.4,24.1,208.5000011,2.5,5.4,12,5/1/2007
2007,6,Ratnapura,93.53333333,31.1,23.8,320.8999984,2.7,7.1,16,6/1/2007
2007,7,Ratnapura,91.35483871,30.5,24,245.2000015,3.7,5.5,47,7/1/2007
2007,8,Ratnapura,93.19354839,30.6,23.5,443.0000043,2.4,3.8,42,8/1/2007
2007,9,Ratnapura,94.63333333,30.7,23.2,409.1999984,2.1,4,38,9/1/2007
2007,10,Ratnapura,96.12903226,30,22.9,509.0000029,1.1,2.7,45,10/1/2007
2007,11,Ratnapura,96.3,32,22.5,178.300003,0.5,3,26,11/1/2007
2007,12,Ratnapura,95.5483871,31,22.3,144.9999991,0.4,3.7,31,12/1/2007
2008,1,Ratnapura,94.87096774,31.5,21.8,51.39999963,1.4,4.6,15,1/1/2008
2008,2,Ratnapura,95.75862069,32.8,22.2,177.7999987,0.8,4.4,25,2/1/2008
2008,3,Ratnapura,96.83870968,32,22.9,286.3999996,0.9,3.9,13,3/1/2008
2008,4,Ratnapura,97.8,31.9,22.7,650.7999918,0.7,2.4,6,4/1/2008
2008,5,Ratnapura,95.58064516,31,23.9,503.0000088,1.8,3.2,12,5/1/2008
2008,6,Ratnapura,94.16666667,30.2,23.3,387.2999971,1.95,4.3,14,6/1/2008
2008,7,Ratnapura,94.4516129,29.8,23.1,557.0000052,1.9,4,55,7/1/2008
2008,8,Ratnapura,95.32258065,30.4,23.2,214.8999988,1,3.5,17,8/1/2008
2008,9,Ratnapura,95,31.7,22.6,194.5999992,1.5,4.9,20,9/1/2008
2008,10,Ratnapura,96.74193548,31.8,22.7,400.8999932,0.5,3,7,10/1/2008
2008,11,Ratnapura,96.8,31.2,22.5,312.7000038,0.8,3.9,17,11/1/2008
2008,12,Ratnapura,95.61290323,31.9,22.5,146.6999972,1.3,3.3,26,12/1/2008
2009,1,Ratnapura,90.32258065,33.2,21.1,22.19999915,0.9,3.5,10,1/1/2009
2009,2,Ratnapura,89.28571429,34.5,21.5,57.79999906,1.5,5.6,15,2/1/2009
2009,3,Ratnapura,96.06451613,34,22.5,290.1000033,0.7,5.7,10,3/1/2009
2009,4,Ratnapura,95.83333333,33.2,23.8,188.5000001,1.1,6,12,4/1/2009
2009,5,Ratnapura,93.77419355,31.5,24.5,414.2000017,3.2,5.4,87,5/1/2009
2009,6,Ratnapura,94.23333333,30.2,23.5,442.9799968,4.3,5.3,427,6/1/2009
2009,7,Ratnapura,89.87096774,30.7,23.8,203.8000024,5.7,7,328,7/1/2009
2009,8,Ratnapura,93.83870968,30.4,23.6,419.4999924,3.8,5.5,313,8/1/2009
2009,9,Ratnapura,94.5,30.4,23.4,379.2000052,4.1,5.2,101,9/1/2009
2009,10,Ratnapura,94.93548387,32.3,23,330.0000014,2.5,5.7,43,10/1/2009
2009,11,Ratnapura,96.6,30.6,22.9,280.6999998,1,4.2,47,11/1/2009
2009,12,Ratnapura,96.70967742,31.1,22.9,215.3999998,1.2,4.1,26,12/1/2009
2010,1,Ratnapura,94.4516129,32.1,22.1,233.6000045,0.5,4.6,43,1/1/2010
2010,2,Ratnapura,92.14285714,33.9,22.6,111.8999988,2.1,5.3,49,2/1/2010
2010,3,Ratnapura,92.61290323,35.2,23.1,157.5000025,2.4,5.8,159,3/1/2010
2010,4,Ratnapura,96.7,33.5,23.7,438.2999987,2,4.3,74,4/1/2010
2010,5,Ratnapura,96.35483871,31.8,24,658.4999986,2.6,3.8,228,5/1/2010
2010,6,Ratnapura,93.63333333,30.9,23.9,451.5000026,3.6,6.1,303,6/1/2010
2010,7,Ratnapura,91.03225806,30.8,23.4,367.3999972,3.9,5.5,260,7/1/2010
2010,8,Ratnapura,89.38709677,30.3,24,385.4999936,4.6,6.7,380,8/1/2010
2010,9,Ratnapura,94.36666667,30.9,23.5,310.2999984,3.3,5.2,150,9/1/2010
2010,10,Ratnapura,93.83870968,31,23.2,436.6000007,4.1,6.5,90,10/1/2010
2010,11,Ratnapura,96.83333333,30.7,22.7,540.2999978,2,3.7,16,11/1/2010
2010,12,Ratnapura,96.32258065,29.8,22.3,469.7000014,1.3,4.3,22,12/1/2010
2011,1,Ratnapura,87.2,29.9,21.6,205.0999991,1.3,4.2,22,1/1/2011
2011,2,Ratnapura,86.05,31.6,22.6,174.3000023,1,4.4,29,2/1/2011
2011,3,Ratnapura,85.65,33.2,22.7,292.0999969,0.8,3.2,25,3/1/2011
2011,4,Ratnapura,88.55,32.3,23.1,731.6999946,0.5,2.3,33,4/1/2011
2011,5,Ratnapura,87.15,31.9,24.2,341.5000006,1.8,3.6,87,5/1/2011
2011,6,Ratnapura,84.65,31.3,24.3,238.600002,3,4.5,79,6/1/2011
2011,7,Ratnapura,84.6,30.6,24,225.8000014,2.5,3.6,48,7/1/2011
2011,8,Ratnapura,86.7,30.6,23.6,306.6999991,1.8,3.3,91,8/1/2011
2011,9,Ratnapura,86.54,31.5,23,345.0999981,1,3.3,48,9/1/2011
2011,10,Ratnapura,86.75,32.9,23.2,187.5000014,0.4,3.3,96,10/1/2011
2011,11,Ratnapura,87.55,32.1,22.9,268.1999979,0.4,2.1,37,11/1/2011
2011,12,Ratnapura,85.75,32.1,22.1,113.399997,0.1,2,95,12/1/2011
2012,1,Ratnapura,77.85,33.6,21.5,36.59999996,0.5,3.5,115,1/1/2012
2012,2,Ratnapura,81.5,33.4,22.2,149.8999994,0.6,2.7,114,2/1/2012
2012,3,Ratnapura,81.45,34,22.8,289.699998,0.4,4.2,109,3/1/2012
2012,4,Ratnapura,87.9,32.9,22.7,432.1999993,0.3,2.7,107,4/1/2012
